************ System Start **********2014-08-05 09:07:09,194 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:44) 打开界面
2014-08-05 09:07:10,723 DEBUG [CheckIn.StepPages.CoinsMoneyControls] (line:369) 查询出钞设备状态
2014-08-05 09:07:10,747 DEBUG [CheckIn.StepPages.CoinsMoneyControls] (line:382) 操作命令：04 50 02 46 03 13
2014-08-05 09:07:10,787 DEBUG [CheckIn.StepPages.CoinsMoneyControls] (line:386) 发送命令，收到的反馈。6
2014-08-05 09:07:11,387 DEBUG [CheckIn.StepPages.CoinsMoneyControls] (line:417) 收到信息：01 50 02 46 30 31 C0 80 03 57,接收标识：ACK：成功
2014-08-05 09:07:11,390 DEBUG [CheckIn.StepPages.CoinsMoneyControls] (line:449) 接收到的命令：70,接收到的错误码:49--Normal stop
2014-08-05 09:07:11,392 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:119) error代码是：0x31
2014-08-05 09:07:11,393 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:120) 上部传感器代码是：1
2014-08-05 09:07:11,393 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:121) 下部传感器代码是：0
2014-08-05 09:07:11,394 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:236) 出纸币出错，出错原因：
************ System End ************************ System Start **********2014-08-05 09:11:05,956 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:44) 打开界面
2014-08-05 09:11:07,451 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:109) 要出的硬币值3
2014-08-05 09:11:07,452 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:111) 要出的纸币值110
2014-08-05 09:11:07,456 DEBUG [CheckIn.StepPages.CoinsMoneyControls] (line:369) 查询出钞设备状态
2014-08-05 09:11:07,478 DEBUG [CheckIn.StepPages.CoinsMoneyControls] (line:382) 操作命令：04 50 02 46 03 13
2014-08-05 09:11:07,513 DEBUG [CheckIn.StepPages.CoinsMoneyControls] (line:386) 发送命令，收到的反馈。6
2014-08-05 09:11:08,116 DEBUG [CheckIn.StepPages.CoinsMoneyControls] (line:417) 收到信息：01 50 02 46 30 31 C0 80 03 57,接收标识：ACK：成功
2014-08-05 09:11:08,119 DEBUG [CheckIn.StepPages.CoinsMoneyControls] (line:449) 接收到的命令：70,接收到的错误码:49--Normal stop
2014-08-05 09:11:08,121 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:121) error代码是：0x31
2014-08-05 09:11:08,122 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:122) 上部传感器代码是：1
2014-08-05 09:11:08,123 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:123) 下部传感器代码是：0
2014-08-05 09:11:08,149 INFO  [CheckIn.StepPages.CoinsMoneyControls] (line:133) 纸币箱钱币不足
************ System End ************************ System Start **********2014-08-07 09:35:18,150 INFO  [CheckIn.StepPages.BankCardPaymentOfone] (line:56) 打开界面
************ System End ************************ System Start **********2014-08-07 09:38:29,985 INFO  [CheckIn.StepPages.BankCardPaymentOfone] (line:56) 打开界面
************ System End ************************ System Start **********2014-08-07 09:41:23,288 INFO  [CheckIn.StepPages.BankCardPaymentOfone] (line:56) 打开界面
************ System End ************************ System Start **********2014-08-07 09:45:22,102 INFO  [CheckIn.StepPages.BankCardPaymentOfone] (line:56) 打开界面
************ System End ************************ System Start **********2014-08-07 09:45:52,009 INFO  [CheckIn.StepPages.BankCardPaymentOfone] (line:56) 打开界面
************ System End ************************ System Start **********2014-08-07 09:47:56,754 INFO  [CheckIn.StepPages.BankCardPaymentOfone] (line:56) 打开界面
2014-08-07 09:47:58,782 INFO  [CheckIn.StepPages.BankCardPaymentOfone] (line:113) 注册函数成功
